ADC0 CH1 | V-load: 1.217V | *Voltage: 5.438mV | I-load: 10.876mA | P-load: 13.234mW|| CH2 || V-load: 4.597V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.990mW
ADC0 CH1 | V-load: 1.214V | *Voltage: 5.453mV | I-load: 10.907mA | P-load: 13.246mW|| CH2 || V-load: 4.595V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.951mW
ADC0 CH1 | V-load: 1.214V | *Voltage: 5.422mV | I-load: 10.844mA | P-load: 13.166mW|| CH2 || V-load: 4.597V | *Voltage: 4.110mV | I-load: 20.548mA | P-load: 94.451mW
ADC0 CH1 | V-load: 1.215V | *Voltage: 5.430mV | I-load: 10.860mA | P-load: 13.193mW|| CH2 || V-load: 4.597V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.990mW
ADC0 CH1 | V-load: 1.214V | *Voltage: 5.446mV | I-load: 10.891mA | P-load: 13.217mW|| CH2 || V-load: 4.597V | *Voltage: 4.110mV | I-load: 20.548mA | P-load: 94.470mW
ADC0 CH1 | V-load: 1.215V | *Voltage: 5.430mV | I-load: 10.860mA | P-load: 13.193mW|| CH2 || V-load: 4.597V | *Voltage: 4.055mV | I-load: 20.275mA | P-load: 93.198mW
ADC0 CH1 | V-load: 1.214V | *Voltage: 5.407mV | I-load: 10.813mA | P-load: 13.128mW|| CH2 || V-load: 4.595V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.146mW
ADC0 CH1 | V-load: 1.214V | *Voltage: 5.446mV | I-load: 10.891mA | P-load: 13.223mW|| CH2 || V-load: 4.596V | *Voltage: 4.039mV | I-load: 20.197mA | P-load: 92.816mW
ADC0 CH1 | V-load: 1.215V | *Voltage: 5.453mV | I-load: 10.907mA | P-load: 13.250mW|| CH2 || V-load: 4.597V | *Voltage: 4.133mV | I-load: 20.665mA | P-load: 94.990mW
ADC0 CH1 | V-load: 1.215V | *Voltage: 5.453mV | I-load: 10.907mA | P-load: 13.252mW|| CH2 || V-load: 4.596V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.150mW
ADC0 CH1 | V-load: 1.215V | *Voltage: 5.430mV | I-load: 10.860mA | P-load: 13.199mW|| CH2 || V-load: 4.597V | *Voltage: 4.141mV | I-load: 20.704mA | P-load: 95.173mW
