ADC0 CH1 | V-load: 3.629V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 351.570mW|| CH2 || V-load: 0.549V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.497mW | Time: 89944ms
ADC0 CH1 | V-load: 3.630V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 351.697mW|| CH2 || V-load: 0.551V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.530mW | Time: 90837ms
ADC0 CH1 | V-load: 3.630V | *Voltage: 2.899mV | I-load: 96.621mA | P-load: 350.751mW|| CH2 || V-load: 0.547V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.502mW | Time: 91665ms
ADC0 CH1 | V-load: 3.632V | *Voltage: 2.899mV | I-load: 96.621mA | P-load: 350.933mW|| CH2 || V-load: 0.552V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.789mW | Time: 92490ms
ADC0 CH1 | V-load: 3.632V | *Voltage: 2.891mV | I-load: 96.360mA | P-load: 350.023mW|| CH2 || V-load: 0.549V | *Voltage: 0.641mV | I-load: 3.203mA | P-load: 1.758mW | Time: 93380ms
ADC0 CH1 | V-load: 3.635V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 352.115mW|| CH2 || V-load: 0.550V | *Voltage: 1.274mV | I-load: 6.368mA | P-load: 3.504mW | Time: 94208ms
ADC0 CH1 | V-load: 3.635V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 352.187mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.509mW | Time: 95098ms
ADC0 CH1 | V-load: 3.636V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 352.278mW|| CH2 || V-load: 0.548V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.508mW | Time: 95924ms
ADC0 CH1 | V-load: 3.637V | *Voltage: 2.891mV | I-load: 96.360mA | P-load: 350.438mW|| CH2 || V-load: 0.548V | *Voltage: 1.289mV | I-load: 6.446mA | P-load: 3.533mW | Time: 96751ms
ADC0 CH1 | V-load: 3.638V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 352.478mW|| CH2 || V-load: 0.550V | *Voltage: 0.648mV | I-load: 3.242mA | P-load: 1.783mW | Time: 97643ms
ADC0 CH1 | V-load: 3.639V | *Voltage: 2.906mV | I-load: 96.881mA | P-load: 352.514mW|| CH2 || V-load: 0.551V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.528mW | Time: 98470ms
ADC0 CH1 | V-load: 3.640V | *Voltage: 2.899mV | I-load: 96.621mA | P-load: 351.675mW|| CH2 || V-load: 0.550V | *Voltage: 1.281mV | I-load: 6.407mA | P-load: 3.523mW | Time: 99299ms
